what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348346045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348349816
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348353608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348371173
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348378704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348381404
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348385367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348386045
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348386868
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348392204
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348394737
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362348485502
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348491682
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362348499782
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348519928
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348519995
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362348532223
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348532429
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348532498
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348538822
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348538822
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348539662
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348539662
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1362348542928
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348555529
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348559499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348589512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348597588
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348598977
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362348601438
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1362348603629
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1362348604457
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362348617031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362348622178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348631896
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348633372
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildCommand",1362348633382
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1362348645623
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1362348653795
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1362348654220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348654543
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348658112
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348658125
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348662309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348727652
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348728046
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildCommand",1362348728060
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348730555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362348790045
